Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,30000
Base Time Seconds,1708790462
Base Time Fractional,.690476693
Base Time,02/24/2024 16:01:02.690476693
Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Relative Time,Channel,CH Label
1.148849298665e-05,Amp DC,.0001,5.5,F,T,F,F,F,F,Front,F,Main,0.000000000,None,
1.146585286642e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,0.000238637,None,
1.150036977103e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,0.000478970,None,
1.144902742188e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,0.000719273,None,
1.156903243073e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,0.000956728,None,
1.160602366542e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,0.001198516,None,
1.164746869425e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,0.001441000,None,
1.159006423641e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,0.001679273,None,
1.168780027454e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,0.001918879,None,
1.16553865505e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,0.002159213,None,
1.169460468226e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,0.004652000,None,
1.177192749724e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,0.004893425,None,
1.176363849147e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,0.005131576,None,
1.181164049501e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,0.005374031,None,
1.175918469733e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,0.005613637,None,
1.177897933797e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,0.005855394,None,
1.177130891472e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,0.006095000,None,
1.18299505376e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,0.006333152,None,
1.176932945066e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,0.006570606,None,
1.180285662323e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,0.006808031,None,
1.148403919251e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,0.009302000,None,
1.147537903723e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,0.009539637,None,
1.139199411355e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,0.009781425,None,
1.145979075773e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,0.010019576,None,
1.132283658784e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,0.010258455,None,
1.146758489748e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,0.010495879,None,
1.138296280877e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,0.010736182,None,
1.142329438906e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,0.010977970,None,
1.140609779501e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,0.011216122,None,
1.139409729412e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,0.011456455,None,
1.144171017575e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,0.013950000,None,
1.148253657171e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,0.014191091,None,
1.155070428132e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,0.014428516,None,
1.144554538264e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,0.014666667,None,
1.136475860518e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,0.014908425,None,
1.137453219694e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,0.015147303,None,
1.135882022031e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,0.015387637,None,
1.133209748841e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,0.015625788,None,
1.13265302526e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,0.015864667,None,
1.133815958963e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,0.016102819,None,
1.129696204462e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,0.018597000,None,
1.133283978652e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,0.018835485,None,
1.142166812682e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,0.019074334,None,
1.137774882208e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,0.019311758,None,
